data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
4555493,356,IND47681,47681,7-Mar-19,2019,1,Violence against civilians,Attack,Balraj Nagar Communal Militia (India),,4,Civilians (India),,7,47,Southern Asia,India,Punjab,Bathinda,Bathinda,Bathinda,30.2108,74.9452,1,Chandigarh Tribune,National,"On 7 March, a group of 15-20 armed men attacked a family in Balraj Nagar locality in Bathinda city (Punjab) an attempt to grab their residential property. Four persons were injured and treated by doctors.",0,1552576389,IND
4555530,764,THA3093,3093,7-Mar-19,2019,1,Violence against civilians,Attack,Southern Muslim Separatists (Thailand),,2,Civilians (Thailand),Muslim Group (Thailand),7,27,South-Eastern Asia,Thailand,Pattani,Sai Buri,,Kadunong,6.6459,101.5566,1,Nation (Thailand),National,"On 7 March 2019, a Muslim man was shot dead in a teashop by suspected Southern Muslim Separatists in Ban Buenae Pade in tambon Kadunong, Sai Buri district, Pattani province. The victim was drinking his tea when two men arrived on a motorcycle and one of them walked up to the victim and shot him once in the head. The attackers then fled the scene.",1,1552576389,THA
4555531,764,THA3094,3094,7-Mar-19,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Thailand),,3,Civilians (Thailand),,7,37,South-Eastern Asia,Thailand,Narathiwat,Rueso,,Rueso,6.3599,101.5114,2,Nation (Thailand),National,"On 7 March 2019, as reported to the Rueso district police in Narathiwat province, three gunmen emerged from a rubber forest to open fire on an oncoming sedan. When the car lost control and swerved off the road, one of the gunmen opened the door and fired more shots directly at the victim. The three gunmen fled in a pickup that came to the scene. The police believe it is over a drug-trafficking conflict.",1,1552576389,THA
4555775,356,IND47603,47603,6-Mar-19,2019,1,Violence against civilians,Attack,INSO: India National Students' Organisation,Students (India),3,Civilians (India),INSO: India National Students' Organisation; Students (India),7,37,Southern Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,1,Hindustan Times (India),National,"On 6 March, a man was shot dead and three others injured in Sector 49 in Chandigarh city (Chandigarh) by unidentified persons. The attack is believed to be connected to a rivalry over control of the Indian National Student Organisation at DAV College.",1,1552576389,IND
4555776,356,IND47604,47604,6-Mar-19,2019,1,Violence against civilians,Attack,Jewar Communal Militia (India),,4,Civilians (India),Former Military Forces of India (2014-),7,47,Southern Asia,India,Uttar Pradesh,Gautam Buddha Nagar,Jewar,Jewar,28.112,77.5573,1,Hindustan Times (India),National,"On 6 March, a former army officer was shot dead in Jewar town (Gautam Buddha Nagar, Uttar Pradesh) by two unidentified persons. The attack is believed to be connected to a property dispute.",1,1552576389,IND
4555778,356,IND47606,47606,6-Mar-19,2019,1,Violence against civilians,Attack,Loni Communal Militia (India),,4,Civilians (India),,7,47,Southern Asia,India,Uttar Pradesh,Ghaziabad,Ghaziabad,Loni,28.7348,77.3019,2,Times of India,National,"On 6 March, the husband of a councillor was shot and wounded in the Loni area (Ghaziabad; Uttar Pradesh) by two persons from the area. The attack is believed to be connected to a property dispute with his neighbours.",0,1552576389,IND
4555784,356,IND47612,47612,6-Mar-19,2019,1,Violence against civilians,Attack,Unidentified Armed Group (India),,3,Civilians (India),BJP: Bharatiya Janata Party,7,37,Southern Asia,India,Uttar Pradesh,Bahraich,Bahraich,Bahraich,27.5742,81.5947,1,India Blooms News Service,National,"On 6 March, a BJP leader was shot and wounded in the Dehat Kotwali area in Bahraich city (Uttar Pradesh) when unidentified persons fired on his convoy.",0,1552576389,IND
4555853,764,THA3091,3091,6-Mar-19,2019,1,Violence against civilians,Attack,Southern Muslim Separatists (Thailand),,2,Civilians (Thailand),Muslim Group (Thailand),7,27,South-Eastern Asia,Thailand,Narathiwat,Su-Ngai Kolok,,Su-Ngai Kolok,6.0297,101.9658,2,Nation (Thailand),National,"On 6 March 2019, a Muslim wan was shot four times in his torso, right thigh, and right arm, and left severely wounded in Sungai Kolok district, Narathiwat province. Given the instability in Thailand's southern provinces, this violence could be the attributable to Southern Muslim Separatists.",0,1552576389,THA
4556495,356,IND47510,47510,4-Mar-19,2019,1,Violence against civilians,Attack,IUML: Indian Union Muslim League,Muslim Group (India),3,Civilians (India),DYFI: Democratic Youth Federation of India; CPI(M): Communist Party of India (Marxist),7,37,Southern Asia,India,Kerala,Malappuram,Tirur,Tanur,10.9824,75.875,2,Times of India,National,"On 4 Mar, in a coastal area of Tanur (Malappuram, Kerala), a former secretary and workers of DYFI's area committee (CPM) were seriously injured in an attack by unidentified assailants. The incident is believed to be a continuation of political clash between the CPM and the IUML workers in the region.",0,1552576390,IND
4556527,360,IDN561,561,4-Mar-19,2019,1,Violence against civilians,Attack,Police Forces of Indonesia (2014-) Prison Guards,,1,Civilians (Indonesia),Prisoners (Indonesia),7,17,South-Eastern Asia,Indonesia,Aceh,Banda Aceh,Banda Aceh,Banda Aceh,5.5416,95.3333,1,Sun (United Kingdom),International,"On 4 March 2019, six unmarried couples who were caught in a raid on a hotel were brought by the authorities to a public flogging spot in Banda Aceh city, Aceh province, after having served several months in prison. They were beaten in front of a mob of Muslim men. They were injured so badly that two women were unable to walk afterwards.",0,1552576390,IDN
